w1p3p2	720099p_all	720098p_all	720094p_all	720096p_all	720097p_all	720095p_all	720100p_all
w1p2m4	963132p_all	963137p_all	963135p_all	963134p_all	963136p_all	963138p_all	963133p_all
w1m3m4	964855p_all	964850p_all	964856p_all	964852p_all	964854p_all	964853p_all	964851p_all
w3m1m3	789166p_all	789167p_all	789163p_all	789162p_all	789168p_all	789164p_all	789165p_all
w2p2m0	831341p_all	831344p_all	831342p_all	831343p_all	831340p_all	831338p_all	831339p_all
w1p1p3	758566p_all	758568p_all	758571p_all	758567p_all	758569p_all	758570p_all	758572p_all
w2p3m0	784765p_all	784767p_all	784768p_all	784771p_all	784766p_all	784770p_all	784769p_all
w1m1m4	964010p_all	964011p_all	964005p_all	964009p_all	964008p_all	964007p_all	964006p_all
w3m3m3	793317p_all	793322p_all	793319p_all	793320p_all	793316p_all	793321p_all	793318p_all
w3p3m3	853622p_all	853623p_all	853739p_all	853625p_all	853624p_all	853626p_all	853686p_all
w3p3p3	900170p_all	900172p_all	900169p_all	900166p_all	900171p_all	900167p_all	900168p_all
w3p1m2	743062p_all	743067p_all	743065p_all	743069p_all	743066p_all	743068p_all	743063p_all
w1m2m1	821845p_all	821850p_all	821848p_all	821846p_all	821851p_all	821847p_all	821849p_all
w4p1m0	863054p_all	863052p_all	863056p_all	863055p_all	863053p_all	863057p_all	863051p_all
w1m1m0	820406p_all	820403p_all	820405p_all	820408p_all	820402p_all	820404p_all	820407p_all
w3m1m2	792430p_all	792434p_all	792432p_all	792433p_all	792431p_all	792435p_all
w1p3p3	719955p_all	719954p_all	719952p_all	719953p_all	719951p_all	719956p_all	719957p_all
w1p2m0	816766p_all	816767p_all	816769p_all	816763p_all	816768p_all	816765p_all	816764p_all
w1m0m3	863914p_all	863915p_all	863913p_all	863916p_all	863918p_all	863917p_all	863919p_all
w4p2m2	862595p_all	862594p_all	862590p_all	862592p_all	862593p_all	862596p_all	862591p_all
w3p1p3	849706p_all	849705p_all	849772p_all	849776p_all	849775p_all	849773p_all	849774p_all
w3p3m0	899485p_all	899489p_all	899487p_all	899491p_all	899486p_all	899490p_all	899488p_all
w1p3p1	1030212p_all	1030210p_all	1030209p_all	1030211p_all	1030208p_all	1030206p_all	1030207p_all
w1m1p2	764952p_all	764951p_all	764950p_all	764949p_all	764947p_all	764948p_all	764953p_all
w1m1m3	875434p_all	875437p_all	875435p_all	875436p_all	875439p_all	875433p_all	875438p_all
w3m3m0	793460p_all	793459p_all	793462p_all	793456p_all	793461p_all	793458p_all	793457p_all
w4m1p1	850811p_all	850815p_all	850810p_all	850816p_all	850812p_all	850814p_all	850813p_all
w1p3m1	826748p_all	826749p_all	826747p_all	826750p_all	826751p_all	826746p_all	826752p_all
w2p2p1	774125p_all	774123p_all	774126p_all	774127p_all	774128p_all	774122p_all	774124p_all
w4m1p3	995421p_all	995291p_all	995290p_all	995420p_all	995293p_all	995419p_all	995292p_all
w1p1m3	875490p_all	875447p_all	875445p_all	875486p_all	875488p_all	875487p_all	875489p_all	875446p_all	875444p_all	875443p_all
